href,text
https://www.olympedia.org/editions/61/sports/RU7,Rugby Sevens
https://www.olympedia.org/results/19010000,"Rugby Sevens, Men"
https://www.olympedia.org/results/19010045,"Rugby Sevens, Women"
https://www.olympedia.org/editions/61/sports/SAL,Sailing
https://www.olympedia.org/results/19008700,"Windsurfer (Neil Pryde RS:X), Men"
https://www.olympedia.org/results/19008725,"One Person Dinghy (Laser), Men"
https://www.olympedia.org/results/19008746,"Two Person Dinghy (470), Men"
https://www.olympedia.org/results/19008767,"Skiff (49er), Men"
https://www.olympedia.org/results/19008792,"One Person Heavyweight Dinghy (Finn), Men"
https://www.olympedia.org/results/19008813,"Windsurfer (Neil Pryde RS:X), Women"
https://www.olympedia.org/results/19008838,"One Person Dinghy (Laser Radial), Women"
https://www.olympedia.org/results/19008859,"Two Person Dinghy (470), Women"
https://www.olympedia.org/results/19008880,"Skiff (49er FX), Women"
https://www.olympedia.org/results/19008905,"Multihull (Nacra 17), Mixed"
https://www.olympedia.org/editions/61/sports/SHO,Shooting
https://www.olympedia.org/results/18000720,"Air Pistol, 10 metres, Men"
https://www.olympedia.org/results/18000723,"Rapid-Fire Pistol, 25 metres, Men"
https://www.olympedia.org/results/18000728,"Air Rifle, 10 metres, Men"
https://www.olympedia.org/results/18000731,"Small-Bore Rifle, Three Positions, 50 metres, Men"
https://www.olympedia.org/results/18000737,"Trap, Men"
https://www.olympedia.org/results/18000740,"Skeet, Men"
https://www.olympedia.org/results/18000743,"Air Pistol, 10 metres, Women"
https://www.olympedia.org/results/18000746,"Sporting Pistol, 25 metres, Women"
https://www.olympedia.org/results/18000751,"Air Rifle, 10 metres, Women"
https://www.olympedia.org/results/18000754,"Small-Bore Rifle, Three Positions, 50 metres, Women"
https://www.olympedia.org/results/18000760,"Trap, Women"
https://www.olympedia.org/results/18000763,"Skeet, Women"
https://www.olympedia.org/results/18000766,"Air Pistol, 10 metres, Team, Mixed"
https://www.olympedia.org/results/18000769,"Air Rifle, 10 metres, Team, Mixed"
https://www.olympedia.org/results/18000772,"Trap, Team, Mixed"
https://www.olympedia.org/editions/61/sports/SKB,Skateboarding
https://www.olympedia.org/results/18000370,"Street, Men"
https://www.olympedia.org/results/18000384,"Park, Men"
https://www.olympedia.org/results/18000377,"Street, Women"
https://www.olympedia.org/results/18000391,"Park, Women"
https://www.olympedia.org/editions/61/sports/SOF,Softball
https://www.olympedia.org/results/18001576,"Softball, Women"
https://www.olympedia.org/editions/61/sports/CLB,Sport Climbing
https://www.olympedia.org/results/18000320,"Combined, Men"
https://www.olympedia.org/results/18000339,"Combined, Women"
https://www.olympedia.org/editions/61/sports/SRF,Surfing
https://www.olympedia.org/results/18000400,"Shortboard, Men"
https://www.olympedia.org/results/18000430,"Shortboard, Women"
https://www.olympedia.org/editions/61/sports/SWM,Swimming
https://www.olympedia.org/results/19000000,"50 metres Freestyle, Men"
https://www.olympedia.org/results/19000014,"100 metres Freestyle, Men"
https://www.olympedia.org/results/19000028,"200 metres Freestyle, Men"
https://www.olympedia.org/results/19000040,"400 metres Freestyle, Men"
https://www.olympedia.org/results/19000047,"800 metres Freestyle, Men"
https://www.olympedia.org/results/19000054,"1,500 metres Freestyle, Men"
https://www.olympedia.org/results/19000061,"4 x 100 metres Freestyle Relay, Men"
https://www.olympedia.org/results/19000066,"4 x 200 metres Freestyle Relay, Men"
https://www.olympedia.org/results/19000071,"100 metres Backstroke, Men"
https://www.olympedia.org/results/19000083,"200 metres Backstroke, Men"
https://www.olympedia.org/results/19000094,"100 metres Breaststroke, Men"
https://www.olympedia.org/results/19000106,"200 metres Breaststroke, Men"
https://www.olympedia.org/results/19000117,"100 metres Butterfly, Men"
https://www.olympedia.org/results/19000129,"200 metres Butterfly, Men"
https://www.olympedia.org/results/19000140,"200 metres Individual Medley, Men"
https://www.olympedia.org/results/19000151,"400 metres Individual Medley, Men"
https://www.olympedia.org/results/19000159,"4 x 100 metres Medley Relay, Men"
https://www.olympedia.org/results/19000164,"50 metres Freestyle, Women"
https://www.olympedia.org/results/19000181,"100 metres Freestyle, Women"
https://www.olympedia.org/results/19000194,"200 metres Freestyle, Women"
https://www.olympedia.org/results/19000205,"400 metres Freestyle, Women"
https://www.olympedia.org/results/19000213,"800 metres Freestyle, Women"
https://www.olympedia.org/results/19000221,"1,500 metres Freestyle, Women"
https://www.olympedia.org/results/19000228,"4 x 100 metres Freestyle Relay, Women"
https://www.olympedia.org/results/19000233,"4 x 200 metres Freestyle Relay, Women"
https://www.olympedia.org/results/19000238,"100 metres Backstroke, Women"
https://www.olympedia.org/results/19000250,"200 metres Backstroke, Women"
https://www.olympedia.org/results/19000261,"100 metres Breaststroke, Women"
https://www.olympedia.org/results/19000274,"200 metres Breaststroke, Women"
https://www.olympedia.org/results/19000285,"100 metres Butterfly, Women"
https://www.olympedia.org/results/19000297,"200 metres Butterfly, Women"
https://www.olympedia.org/results/19000307,"200 metres Individual Medley, Women"
https://www.olympedia.org/results/19000318,"400 metres Individual Medley, Women"
https://www.olympedia.org/results/19000326,"4 x 100 metres Medley Relay, Women"
https://www.olympedia.org/results/19000331,"4 x 100 metres Medley Relay, Mixed"
https://www.olympedia.org/editions/61/sports/TTE,Table Tennis
https://www.olympedia.org/results/19003870,"Singles, Men"
https://www.olympedia.org/results/19003949,"Team, Men"
https://www.olympedia.org/results/19004030,"Singles, Women"
https://www.olympedia.org/results/19004109,"Team, Women"
https://www.olympedia.org/results/19004188,"Doubles, Mixed"
https://www.olympedia.org/editions/61/sports/TKW,Taekwondo
https://www.olympedia.org/results/19004300,"Flyweight (≤58 kilograms), Men"
https://www.olympedia.org/results/19004326,"Featherweight (≤68 kilograms), Men"
https://www.olympedia.org/results/19004352,"Welterweight (≤80 kilograms), Men"
https://www.olympedia.org/results/19004378,"Heavyweight (>80 kilograms), Men"
https://www.olympedia.org/results/19004404,"Flyweight (≤49 kilograms), Women"
https://www.olympedia.org/results/19004430,"Featherweight (≤57 kilograms), Women"
https://www.olympedia.org/results/19004456,"Welterweight (≤67 kilograms), Women"
https://www.olympedia.org/results/19004482,"Heavyweight (>67 kilograms), Women"
https://www.olympedia.org/editions/61/sports/TEN,Tennis
https://www.olympedia.org/results/19004600,"Singles, Men"
https://www.olympedia.org/results/19004671,"Doubles, Men"
https://www.olympedia.org/results/19004709,"Singles, Women"
https://www.olympedia.org/results/19004780,"Doubles, Women"
https://www.olympedia.org/results/19004818,"Doubles, Mixed"
https://www.olympedia.org/editions/61/sports/GTR,Trampolining
https://www.olympedia.org/results/19001100,"Individual, Men"
https://www.olympedia.org/results/19001105,"Individual, Women"
