Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Sbastien Lareau,Canada,CAN,Summer,2000,Sydney,Tennis,Tennis Men'S Doubles,Gold
Jonas Erik Larholm,Sweden,SWE,Summer,2012,London,Handball,Handball Men'S Handball,Silver
Dmitry Olegovich Larionov,Russia,RUS,Summer,2008,Beijing,Canoeing,"Canoeing Men'S Canadian Doubles, Slalom",Bronze
Yekaterina Alekseyevna Larionova,Kazakhstan,KAZ,Summer,2016,Rio De Janeiro,Wrestling,"Wrestling Women'S Middleweight, Freestyle",Bronze
Larissa Frana Maestrini,Brazil,BRA,Summer,2012,London,Beach Volleyball,Beach Volleyball Women'S Beach Volleyball,Bronze
"Mitchell James ""Mitch"" Larkin",Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,Swimming Men'S 200 Metres Backstroke,Silver
"Mitchell James ""Mitch"" Larkin",Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,Swimming Men'S 4 X 100 Metres Medley Relay,Bronze
George Edward Larner,Great Britain,GBR,Summer,1908,London,Athletics,"Athletics Men'S 3,500 Metres Walk",Gold
George Edward Larner,Great Britain,GBR,Summer,1908,London,Athletics,Athletics Men'S 10 Mile Walk,Gold
"Alfons Henri ""Rik"" Larnoe",Belgium,BEL,Summer,1920,Antwerpen,Football,Football Men'S Football,Gold
Jean Laroyenne,France,FRA,Summer,1952,Helsinki,Fencing,"Fencing Men'S Sabre, Team",Bronze
"Michael Denny ""Mike"" Larrabee",United States,USA,Summer,1964,Tokyo,Athletics,Athletics Men'S 400 Metres,Gold
"Michael Denny ""Mike"" Larrabee",United States,USA,Summer,1964,Tokyo,Athletics,Athletics Men'S 4 X 400 Metres Relay,Gold
Pierre Antoine Marie Joseph Larran,France,FRA,Summer,1906,Athina,Rowing,Rowing Men'S Single Sculls,Silver
Roberto Larraz,Argentina,ARG,Summer,1928,Amsterdam,Fencing,"Fencing Men'S Foil, Team",Bronze
Leo Edward Larrivee,United States,USA,Summer,1924,Paris,Athletics,"Athletics Men'S 3,000 Metres, Team",Bronze
Aage Ernst Larsen,Denmark,DEN,Summer,1948,London,Rowing,Rowing Men'S Double Sculls,Silver
Alfred Waldemar Garmann Larsen,Magda Ix,NOR,Summer,1912,Stockholm,Sailing,Sailing Mixed 12 Metres,Gold
Carl Otto Laurits Larsen (-Branning),Denmark,DEN,Summer,1912,Stockholm,Gymnastics,"Gymnastics Men'S Team All-Around, Swedish System",Silver
Christine Larsen,Canada,CAN,Summer,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women'S Team,Silver
Martin Edvard Larsen,Norway,NOR,Summer,1908,London,Athletics,Athletics Men'S Triple Jump,Bronze
Eirik Vers Larsen,Norway,NOR,Summer,2004,Athina,Canoeing,"Canoeing Men'S Kayak Singles, 1,000 Metres",Gold
Eirik Vers Larsen,Norway,NOR,Summer,2004,Athina,Canoeing,"Canoeing Men'S Kayak Doubles, 1,000 Metres",Bronze
Eirik Vers Larsen,Norway,NOR,Summer,2008,Beijing,Canoeing,"Canoeing Men'S Kayak Singles, 1,000 Metres",Silver
Eirik Vers Larsen,Norway,NOR,Summer,2012,London,Canoeing,"Canoeing Men'S Kayak Singles, 1,000 Metres",Gold
Erik Christian Larsen,Denmark,DEN,Summer,1948,London,Rowing,Rowing Men'S Coxed Fours,Bronze
Ernst Willy Larsen,Norway,NOR,Summer,1956,Melbourne,Athletics,"Athletics Men'S 3,000 Metres Steeplechase",Bronze
Harry Julius Larsen,Denmark,DEN,Summer,1936,Berlin,Rowing,Rowing Men'S Coxless Pairs,Silver
Henry Ludvig Larsen,Kristiania Roklub,NOR,Summer,1912,Stockholm,Rowing,"Rowing Men'S Coxed Fours, Outriggers",Bronze
Henry Ludvig Larsen,Norway,NOR,Summer,1920,Antwerpen,Rowing,Rowing Men'S Coxed Fours,Bronze
Henry Christian Larsen,Denmark,DEN,Summer,1948,London,Rowing,Rowing Men'S Coxed Fours,Bronze
Ib Ivan Larsen,Denmark,DEN,Summer,1968,Mexico City,Rowing,Rowing Men'S Coxless Pairs,Bronze
Ib Storm Larsen (-Storm),Denmark,DEN,Summer,1948,London,Rowing,Rowing Men'S Coxless Fours,Silver
Jacob Sgaard Larsen,Denmark,DEN,Summer,2016,Rio De Janeiro,Rowing,Rowing Men'S Lightweight Coxless Fours,Silver
Niels Kristjan Ferdinand Larsen,Denmark,DEN,Summer,1920,Antwerpen,Gymnastics,"Gymnastics Men'S Team All-Around, Swedish System",Silver
Laurits Teodor Christian Larsen,Denmark,DEN,Summer,1912,Stockholm,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres, Team",Bronze
Louis Edmund Larsen (-Lystoft),Denmark,DEN,Summer,1906,Athina,Gymnastics,Gymnastics Men'S Team All-Around,Silver
Mads Mensah Larsen,Denmark,DEN,Summer,2016,Rio De Janeiro,Handball,Handball Men'S Handball,Gold
Niels Hansen Ditlev Larsen,Denmark,DEN,Summer,1912,Stockholm,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres",Bronze
Niels Hansen Ditlev Larsen,Denmark,DEN,Summer,1912,Stockholm,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres, Team",Bronze
Niels Hansen Ditlev Larsen,Denmark,DEN,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres",Silver
Niels Hansen Ditlev Larsen,Denmark,DEN,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Military Rifle, Standing, 300 Metres, Team",Gold
Niels Hansen Ditlev Larsen,Denmark,DEN,Summer,1924,Paris,Shooting,"Shooting Men'S Free Rifle, Prone, 600 Metres",Bronze
Niklas Larsen,Denmark,DEN,Summer,2016,Rio De Janeiro,Cycling,"Cycling Men'S Team Pursuit, 4,000 Metres",Bronze
Petter Andreas Larsen,Magda Ix,NOR,Summer,1912,Stockholm,Sailing,Sailing Mixed 12 Metres,Gold
Thor Larsen,Norway,NOR,Summer,1908,London,Gymnastics,Gymnastics Men'S Team All-Around,Silver
Tonje Larsen,Norway,NOR,Summer,2000,Sydney,Handball,Handball Women'S Handball,Bronze
Tonje Larsen,Norway,NOR,Summer,2008,Beijing,Handball,Handball Women'S Handball,Gold
"John Harry Larsen, Sr.",Norway,NOR,Summer,1952,Helsinki,Shooting,"Shooting Men'S Running Target, Single And Double Shot",Gold
Breeja Larson,United States,USA,Summer,2012,London,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Gold
David Erwin Larson,United States,USA,Summer,1984,Los Angeles,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Gold
Lance Melvin Larson,United States,USA,Summer,1960,Roma,Swimming,Swimming Men'S 100 Metres Freestyle,Silver
Lance Melvin Larson,United States,USA,Summer,1960,Roma,Swimming,Swimming Men'S 4 X 100 Metres Medley Relay,Gold
"Christine ""Chris"" Larson Mason",United States,USA,Summer,1984,Los Angeles,Hockey,Hockey Women'S Hockey,Bronze
Jordan Quinn Larson-Burbach,United States,USA,Summer,2012,London,Volleyball,Volleyball Women'S Volleyball,Silver
Jordan Quinn Larson-Burbach,United States,USA,Summer,2016,Rio De Janeiro,Volleyball,Volleyball Women'S Volleyball,Bronze
Anders Larsson,Sweden,SWE,Summer,1920,Antwerpen,Wrestling,"Wrestling Men'S Light-Heavyweight, Freestyle",Gold
Peter Andreas Larsson,Sweden,SWE,Summer,1996,Atlanta,Handball,Handball Men'S Handball,Silver
Peter Andreas Larsson,Sweden,SWE,Summer,2000,Sydney,Handball,Handball Men'S Handball,Silver
Erik Bernhard Larsson,Sweden,SWE,Summer,1912,Stockholm,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres, Team",Gold
Erik Bernhard Larsson,Sweden,SWE,Summer,1912,Stockholm,Shooting,"Shooting Men'S Military Rifle, 200, 400, 500 And 600 Metres, Team",Bronze
Erik Brynolf Larsson,Sweden,SWE,Summer,1912,Stockholm,Athletics,"Athletics Men'S Cross-Country, Team",Gold
Erik Victor Larsson,Sweden,SWE,Summer,1912,Stockholm,Tug-Of-War,Tug-Of-War Men'S Tug-Of-War,Gold
Stig Axel Gran Larsson,Sweden,SWE,Summer,1952,Helsinki,Swimming,Swimming Men'S 100 Metres Freestyle,Bronze
Karl Gunnar Larsson,Sweden,SWE,Summer,1972,Munich,Swimming,Swimming Men'S 200 Metres Individual Medley,Gold
Karl Gunnar Larsson,Sweden,SWE,Summer,1972,Munich,Swimming,Swimming Men'S 400 Metres Individual Medley,Gold
Gustav Erik Larsson,Sweden,SWE,Summer,2008,Beijing,Cycling,Cycling Men'S Individual Time Trial,Silver
Helge Teodor Larsson,Sweden,SWE,Summer,1936,Berlin,Canoeing,"Canoeing Men'S Kayak Doubles, 10,000 Metres",Bronze
"Olof Hindrik ""Olle"" Larsson",Sweden,SWE,Summer,1956,Melbourne,Rowing,Rowing Men'S Coxed Fours,Silver
Carl Rune Larsson,Sweden,SWE,Summer,1948,London,Athletics,Athletics Men'S 400 Metres Hurdles,Bronze
Carl Rune Larsson,Sweden,SWE,Summer,1948,London,Athletics,Athletics Men'S 4 X 400 Metres Relay,Bronze
"Harry Edvin ""Harri"" Larva (Lagerstrm-)",Finland,FIN,Summer,1928,Amsterdam,Athletics,"Athletics Men'S 1,500 Metres",Gold
Anatoly Vladimirovich Laryukov,Belarus,BLR,Summer,2000,Sydney,Judo,Judo Men'S Lightweight,Bronze
Mikel Lasa Goikoetxea,Spain,ESP,Summer,1992,Barcelona,Football,Football Men'S Football,Gold
Otto Abraham Lasanen,Finland,FIN,Summer,1912,Stockholm,Wrestling,"Wrestling Men'S Featherweight, Greco-Roman",Bronze
Natlija Laonova (-Kravchenko),Soviet Union,URS,Summer,1988,Seoul,Gymnastics,Gymnastics Women'S Team All-Around,Gold
Fedir Serafimovych Lashchonov,Soviet Union,URS,Summer,1980,Moskva,Volleyball,Volleyball Men'S Volleyball,Gold
Ehsan Lashgari,Iran,IRI,Summer,2012,London,Wrestling,"Wrestling Men'S Light-Heavyweight, Freestyle",Bronze
Revaz Lashkhi,Georgia,GEO,Summer,2012,London,Wrestling,"Wrestling Men'S Lightweight, Greco-Roman",Silver
Irina Lashko (-Furler-),Unified Team,EUN,Summer,1992,Barcelona,Diving,Diving Women'S Springboard,Silver
Irina Lashko (-Furler-),Russia,RUS,Summer,1996,Atlanta,Diving,Diving Women'S Springboard,Silver
Irina Lashko (-Furler-),Australia,AUS,Summer,2004,Athina,Diving,Diving Women'S Synchronized Springboard,Bronze
Yelena Anatolyevna Lashmanova,Russia,RUS,Summer,2012,London,Athletics,Athletics Women'S 20 Kilometres Walk,Gold
Michal Eryk Lasko,Italy,ITA,Summer,2012,London,Volleyball,Volleyball Men'S Volleyball,Bronze
Kazimierz Laskowski,Poland,POL,Summer,1928,Amsterdam,Fencing,"Fencing Men'S Sabre, Team",Bronze
Inna Aleksandrovna Lasovskaya,Russia,RUS,Summer,1996,Atlanta,Athletics,Athletics Women'S Triple Jump,Silver
"Flix ""Ren"" Lasserre",France,FRA,Summer,1924,Paris,Rugby,Rugby Men'S Rugby,Silver
Rosemary Lassig (-Lluka),Australia,AUS,Summer,1960,Roma,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Silver
"Aartje Elisabeth ""Adrie"" Lasterie",Netherlands,NED,Summer,1964,Tokyo,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Silver
Luis Mara Lasrtegui Berridi,Spain,ESP,Summer,1984,Los Angeles,Rowing,Rowing Men'S Coxless Pairs,Silver
Norka Latamblet Daudinot,Cuba,CUB,Summer,1992,Barcelona,Volleyball,Volleyball Women'S Volleyball,Gold
Jacques Vital Lucien Lataste,France,FRA,Summer,1948,London,Fencing,"Fencing Men'S Foil, Team",Gold
Jacques Vital Lucien Lataste,France,FRA,Summer,1952,Helsinki,Fencing,"Fencing Men'S Foil, Team",Gold
Jacques Vital Lucien Lataste,France,FRA,Summer,1956,Melbourne,Fencing,"Fencing Men'S Foil, Team",Silver
Denis Lathoud,France,FRA,Summer,1992,Barcelona,Handball,Handball Men'S Handball,Bronze
Badri Latif,Germany,GER,Summer,2004,Athina,Hockey,Hockey Women'S Hockey,Gold
Armando Latini,Italy,ITA,Summer,1936,Berlin,Cycling,"Cycling Men'S Team Pursuit, 4,000 Metres",Silver
Grzegorz Bolesaw Lato,Poland,POL,Summer,1972,Munich,Football,Football Men'S Football,Gold
Grzegorz Bolesaw Lato,Poland,POL,Summer,1976,Montreal,Football,Football Men'S Football,Silver
Brigitte Latrille-Gaudin,France,FRA,Summer,1976,Montreal,Fencing,"Fencing Women'S Foil, Team",Silver
Brigitte Latrille-Gaudin,France,FRA,Summer,1980,Moskva,Fencing,"Fencing Women'S Foil, Team",Gold
Brigitte Latrille-Gaudin,France,FRA,Summer,1984,Los Angeles,Fencing,"Fencing Women'S Foil, Team",Bronze
Hans Latscha,Frankfurt Club,GER,Summer,1900,Paris,Rugby,Rugby Men'S Rugby,Silver
"Victoria Jane ""Vicky"" Latta",New Zealand,NZL,Summer,1992,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
"Victoria Jane ""Vicky"" Latta",New Zealand,NZL,Summer,1996,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Giovanni Lattuada,Italy,ITA,Summer,1932,Los Angeles,Gymnastics,Gymnastics Men'S Rings,Bronze
Misha Jonas Emanuel Latuhihin,Netherlands,NED,Summer,1996,Atlanta,Volleyball,Volleyball Men'S Volleyball,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1956,Melbourne,Gymnastics,Gymnastics Women'S Individual All-Around,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1956,Melbourne,Gymnastics,Gymnastics Women'S Team All-Around,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1956,Melbourne,Gymnastics,Gymnastics Women'S Team Portable Apparatus,Bronze
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1956,Melbourne,Gymnastics,Gymnastics Women'S Floor Exercise,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1956,Melbourne,Gymnastics,Gymnastics Women'S Horse Vault,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1956,Melbourne,Gymnastics,Gymnastics Women'S Uneven Bars,Silver
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1960,Roma,Gymnastics,Gymnastics Women'S Individual All-Around,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1960,Roma,Gymnastics,Gymnastics Women'S Team All-Around,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1960,Roma,Gymnastics,Gymnastics Women'S Floor Exercise,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1960,Roma,Gymnastics,Gymnastics Women'S Horse Vault,Bronze
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1960,Roma,Gymnastics,Gymnastics Women'S Uneven Bars,Silver
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1960,Roma,Gymnastics,Gymnastics Women'S Balance Beam,Silver
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1964,Tokyo,Gymnastics,Gymnastics Women'S Individual All-Around,Silver
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1964,Tokyo,Gymnastics,Gymnastics Women'S Team All-Around,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1964,Tokyo,Gymnastics,Gymnastics Women'S Floor Exercise,Gold
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1964,Tokyo,Gymnastics,Gymnastics Women'S Horse Vault,Silver
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1964,Tokyo,Gymnastics,Gymnastics Women'S Uneven Bars,Bronze
Larysa Semenivna Latynina (Diriy-),Soviet Union,URS,Summer,1964,Tokyo,Gymnastics,Gymnastics Women'S Balance Beam,Bronze
Heike Ltzsch (-Wedekind),Germany,GER,Summer,1992,Barcelona,Hockey,Hockey Women'S Hockey,Silver
Heike Ltzsch (-Wedekind),Germany,GER,Summer,2004,Athina,Hockey,Hockey Women'S Hockey,Gold
Jutta Lau,East Germany,GDR,Summer,1976,Montreal,Rowing,Rowing Women'S Coxed Quadruple Sculls,Gold
Jutta Lau,East Germany,GDR,Summer,1980,Moskva,Rowing,Rowing Women'S Coxed Quadruple Sculls,Gold
Dezs Lauber,Hungary,HUN,Summer,1924,Paris,Art Competitions,Art Competitions Mixed Architecture,Silver
Reinhard Lauck,East Germany,GDR,Summer,1976,Montreal,Football,Football Men'S Football,Gold
Simone Laudehr,Germany,GER,Summer,2008,Beijing,Football,Football Women'S Football,Bronze
Simone Laudehr,Germany,GER,Summer,2016,Rio De Janeiro,Football,Football Women'S Football,Gold
Jean Maurice Laudet,France,FRA,Summer,1952,Helsinki,Canoeing,"Canoeing Men'S Canadian Doubles, 10,000 Metres",Gold
Adolf Laudon,Austria,AUT,Summer,1936,Berlin,Football,Football Men'S Football,Silver
Abel Ricardo Laudonio,Argentina,ARG,Summer,1960,Roma,Boxing,Boxing Men'S Lightweight,Bronze
"Frederick William ""Fred"" Lauer",United States,USA,Summer,1924,Paris,Water Polo,Water Polo Men'S Water Polo,Bronze
Hilde Lauer (-Ttaru),Romania,ROU,Summer,1964,Tokyo,Canoeing,"Canoeing Women'S Kayak Singles, 500 Metres",Silver
Hilde Lauer (-Ttaru),Romania,ROU,Summer,1964,Tokyo,Canoeing,"Canoeing Women'S Kayak Doubles, 500 Metres",Bronze
"Karl-Martin ""Martin"" Lauer",Germany,GER,Summer,1960,Roma,Athletics,Athletics Men'S 4 X 100 Metres Relay,Gold
Walter Laufer,United States,USA,Summer,1928,Amsterdam,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Gold
Walter Laufer,United States,USA,Summer,1928,Amsterdam,Swimming,Swimming Men'S 100 Metres Backstroke,Silver
Hildrun Laufer-Claus,Germany,GER,Summer,1960,Roma,Athletics,Athletics Women'S Long Jump,Bronze
Louis Alexandre Laufray,Libellule De Paris,FRA,Summer,1900,Paris,Water Polo,Water Polo Men'S Water Polo,Bronze
Jack David Laugher,Great Britain,GBR,Summer,2016,Rio De Janeiro,Diving,Diving Men'S Springboard,Silver
Jack David Laugher,Great Britain,GBR,Summer,2016,Rio De Janeiro,Diving,Diving Men'S Synchronized Springboard,Gold
Danile Laumann,Canada,CAN,Summer,1984,Los Angeles,Rowing,Rowing Women'S Double Sculls,Bronze
Silken Suzette Laumann (-Wallace),Canada,CAN,Summer,1984,Los Angeles,Rowing,Rowing Women'S Double Sculls,Bronze
Silken Suzette Laumann (-Wallace),Canada,CAN,Summer,1992,Barcelona,Rowing,Rowing Women'S Single Sculls,Bronze
Silken Suzette Laumann (-Wallace),Canada,CAN,Summer,1996,Atlanta,Rowing,Rowing Women'S Single Sculls,Silver
"Laureano ""Lauren"" Bisan Etame-Mayer",Cameroon,CMR,Summer,2000,Sydney,Football,Football Men'S Football,Gold
Henri Albert Fernand Laurent,France,FRA,Summer,1900,Paris,Fencing,"Fencing Men'S Epee, Masters, Individual",Bronze
Sergio Lauricella,Italy,ITA,Summer,1948,London,Art Competitions,"Art Competitions Mixed Music, Instrumental And Chamber",Bronze
"Louis Daniel ""Lou"" Laurie (Lauria-)",United States,USA,Summer,1936,Berlin,Boxing,Boxing Men'S Flyweight,Bronze
"William George Ranald Mundell ""Ran"" Laurie",Great Britain,GBR,Summer,1948,London,Rowing,Rowing Men'S Coxless Pairs,Gold
"Martha Johanna Petronella ""Marty"" Laurijsen",Netherlands,NED,Summer,1984,Los Angeles,Rowing,Rowing Women'S Coxed Eights,Bronze
Arvid Laurentius Laurin,Sunshine,SWE,Summer,1936,Berlin,Sailing,Sailing Mixed Two Person Keelboat,Silver
Teodoras Algirdas Adamo Lauritnas,Soviet Union,URS,Summer,1956,Melbourne,Basketball,Basketball Men'S Basketball,Silver
Romina Laurito,Italy,ITA,Summer,2012,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women'S Group,Bronze
Susanne Munk Lauritsen (-Wilbek),Denmark,DEN,Summer,1996,Atlanta,Handball,Handball Women'S Handball,Gold
Dag Otto Lauritzen,Norway,NOR,Summer,1984,Los Angeles,Cycling,"Cycling Men'S Road Race, Individual",Bronze
Jens Peter Martinus Laursen,Denmark,DEN,Summer,1912,Stockholm,Gymnastics,"Gymnastics Men'S Team All-Around, Swedish System",Silver
Andr Lauseig,France,FRA,Summer,1924,Paris,Athletics,"Athletics Men'S Cross-Country, Team",Bronze
"David Lester ""Dave"" Laut",United States,USA,Summer,1984,Los Angeles,Athletics,Athletics Men'S Shot Put,Bronze
Andrew George Lauterstein,Australia,AUS,Summer,2008,Beijing,Swimming,Swimming Men'S 4 X 100 Metres Freestyle Relay,Bronze
Andrew George Lauterstein,Australia,AUS,Summer,2008,Beijing,Swimming,Swimming Men'S 100 Metres Butterfly,Bronze
Andrew George Lauterstein,Australia,AUS,Summer,2008,Beijing,Swimming,Swimming Men'S 4 X 100 Metres Medley Relay,Silver
"John Jacob ""Jack"" Lauterwasser",Great Britain,GBR,Summer,1928,Amsterdam,Cycling,"Cycling Men'S Road Race, Team",Silver
Henri Lauvaux,France,FRA,Summer,1924,Paris,Athletics,"Athletics Men'S Cross-Country, Team",Bronze
Carol Elizabeth Cadwgan  Lavell,United States,USA,Summer,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Elise Mary Laverick (-Sherwell),Great Britain,GBR,Summer,2004,Athina,Rowing,Rowing Women'S Double Sculls,Bronze
Elise Mary Laverick (-Sherwell),Great Britain,GBR,Summer,2008,Beijing,Rowing,Rowing Women'S Double Sculls,Bronze
Alphonse Laverrire,Switzerland,SUI,Summer,1912,Stockholm,Art Competitions,Art Competitions Mixed Architecture,Gold
Ezequiel Ivn Lavezzi,Argentina,ARG,Summer,2008,Beijing,Football,Football Men'S Football,Gold
Renaud Lavillenie,France,FRA,Summer,2012,London,Athletics,Athletics Men'S Pole Vault,Gold
Renaud Lavillenie,France,FRA,Summer,2016,Rio De Janeiro,Athletics,Athletics Men'S Pole Vault,Silver
"Jacqueline Carol ""Jackie"" Lavine",United States,USA,Summer,1952,Helsinki,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Bronze
Neale John Lavis,Australia,AUS,Summer,1960,Roma,Equestrianism,"Equestrianism Men'S Three-Day Event, Individual",Silver
Neale John Lavis,Australia,AUS,Summer,1960,Roma,Equestrianism,"Equestrianism Men'S Three-Day Event, Team",Gold
Franco Lavoratori,Italy,ITA,Summer,1960,Roma,Water Polo,Water Polo Men'S Water Polo,Gold
Sergey Petrovich Lavrenov,Belarus,BLR,Summer,2000,Sydney,Weightlifting,Weightlifting Men'S Lightweight,Bronze
Florica Lavric,Romania,ROU,Summer,1984,Los Angeles,Rowing,Rowing Women'S Coxed Fours,Gold
Nataliya Petrovna Lavrinenko,Belarus,BLR,Summer,1996,Atlanta,Rowing,Rowing Women'S Coxed Eights,Bronze
Ore Lavrni,Yugoslavia,YUG,Summer,1972,Munich,Handball,Handball Men'S Handball,Gold
Andrey Ivanovich Lavrov,Soviet Union,URS,Summer,1988,Seoul,Handball,Handball Men'S Handball,Gold
Andrey Ivanovich Lavrov,Unified Team,EUN,Summer,1992,Barcelona,Handball,Handball Men'S Handball,Gold
Andrey Ivanovich Lavrov,Russia,RUS,Summer,2000,Sydney,Handball,Handball Men'S Handball,Gold
Andrey Ivanovich Lavrov,Russia,RUS,Summer,2004,Athina,Handball,Handball Men'S Handball,Bronze
Igor Viktorovich Lavrov,Russia,RUS,Summer,2000,Sydney,Handball,Handball Men'S Handball,Gold
Nataliya Aleksandrovna Lavrova,Russia,RUS,Summer,2000,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women'S Group,Gold
Nataliya Aleksandrovna Lavrova,Russia,RUS,Summer,2004,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women'S Group,Gold
Arthur A. Law,Wales,GBR,Summer,1908,London,Hockey,Hockey Men'S Hockey,Bronze
Leslie Francis Law,Great Britain,GBR,Summer,2000,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Leslie Francis Law,Great Britain,GBR,Summer,2004,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
Leslie Francis Law,Great Britain,GBR,Summer,2004,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Garba Lawal,Nigeria,NGR,Summer,1996,Atlanta,Football,Football Men'S Football,Gold
Ruth Modupe Lawanson (-Kenan),United States,USA,Summer,1992,Barcelona,Volleyball,Volleyball Women'S Volleyball,Bronze
"Raymond E. ""Ray"" Lawler",Christian Brothers' College,USA,Summer,1904,St. Louis,Football,Football Men'S Football,Silver
Albert Lawrence,Jamaica,JAM,Summer,1984,Los Angeles,Athletics,Athletics Men'S 4 X 100 Metres Relay,Silver
Allan Cleave Evan Lawrence,Australia,AUS,Summer,1956,Melbourne,Athletics,"Athletics Men'S 10,000 Metres",Bronze
Ashley Lawrence,Canada,CAN,Summer,2016,Rio De Janeiro,Football,Football Women'S Football,Bronze
"Jacqueline ""Jacqui"" Lawrence",Australia,AUS,Summer,2008,Beijing,Canoeing,"Canoeing Women'S Kayak Singles, Slalom",Silver
Janice Faye Lawrence (-Braxton),United States,USA,Summer,1984,Los Angeles,Basketball,Basketball Women'S Basketball,Gold
Maya Lawrence,United States,USA,Summer,2012,London,Fencing,"Fencing Women'S Epee, Team",Bronze
Tayna Lawrence,Jamaica,JAM,Summer,2000,Sydney,Athletics,Athletics Women'S 100 Metres,Silver
Tayna Lawrence,Jamaica,JAM,Summer,2000,Sydney,Athletics,Athletics Women'S 4 X 100 Metres Relay,Silver
Tayna Lawrence,Jamaica,JAM,Summer,2004,Athina,Athletics,Athletics Women'S 4 X 100 Metres Relay,Gold
A. Lawry,Cornwall,GBR,Summer,1908,London,Rugby,Rugby Men'S Rugby,Silver
Gilbert Umfreville Laws,Dormy,GBR,Summer,1908,London,Sailing,Sailing Mixed 6 Metres,Gold
Kara Marie Lawson,United States,USA,Summer,2008,Beijing,Basketball,Basketball Women'S Basketball,Gold
Edwige Lawson-Wade,France,FRA,Summer,2012,London,Basketball,Basketball Women'S Basketball,Silver
Kevin Edmund Lawton,New Zealand,NZL,Summer,1984,Los Angeles,Rowing,Rowing Men'S Coxed Fours,Bronze
Shankar Pillay Laxman,India,IND,Summer,1956,Melbourne,Hockey,Hockey Men'S Hockey,Gold
Shankar Pillay Laxman,India,IND,Summer,1960,Roma,Hockey,Hockey Men'S Hockey,Silver
Shankar Pillay Laxman,India,IND,Summer,1964,Tokyo,Hockey,Hockey Men'S Hockey,Gold
Charles Downing Lay,United States,USA,Summer,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Silver
"Jeffrey Donald ""Jeff"" Lay",Canada,CAN,Summer,1996,Atlanta,Rowing,Rowing Men'S Lightweight Coxless Fours,Silver
Kirsti Lay (-Giroux),Canada,CAN,Summer,2016,Rio De Janeiro,Cycling,Cycling Women'S Team Pursuit,Bronze
Marion Beverly Lay,Canada,CAN,Summer,1968,Mexico City,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Bronze
"Donald Robert ""Don"" Laz",United States,USA,Summer,1952,Helsinki,Athletics,Athletics Men'S Pole Vault,Silver
Tamara Vasilyevna Lazakovich,Soviet Union,URS,Summer,1972,Munich,Gymnastics,Gymnastics Women'S Individual All-Around,Bronze
