Sport,Event,Medal,Athlete,Country,Year,City,Season,NOC
Track And Field,WOMEN’S 20KM RACE WALK,Gold,Yang Jiayu,China,2024,Paris,Summer,CHN
Gymnastics,MEN’S ALL AROUND,Gold,Shinnosuke Oka,Japan,2024,Paris,Summer,JPN
Canoe,WOMEN’S SINGLE,Gold,Jessica Fox,Australia,2024,Paris,Summer,ANZ
Cycling,WOMEN’S PARK,Gold,Deng Yawen,China,2024,Paris,Summer,CHN
Cycling,MEN’S PARK,Gold,Jose Torres Gil,Argentina,2024,Paris,Summer,ARG
Diving,WOMEN’S SYNCHRONIZED 10-METER PLATFORM,Gold,Chen Yuxi and Quan Hongchan,China,2024,Paris,Summer,CHN
Fencing,MEN’S SABRE TEAM,Gold,South Korea,South Korea,2024,Paris,Summer,KOR
Judo,WOMEN’S 70KG,Gold,Barbara Matic,Croatia,2024,Paris,Summer,CRO
Judo,MEN’S 90KG,Gold,Lasha Bekauri,Georgia,2024,Paris,Summer,GEO
Rowing,MEN’S QUADRUPLE SCULLS,Gold,"Lennart van Lierop, Finn Florijn, Tone Wieten, Koen Metsemakers)",Netherlands,2024,Paris,Summer,NED
Rowing,WOMEN’S QUADRUPLE SCULLS,Gold,"Lauren Henry, Hannah Scott, Lola Anderson, Georgina Brayshaw)",Great Britain,2024,Paris,Summer,GBR
