Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
"Terri Lee Stickles (-Meja, -Strunck)",United States,USA,Summer,1964,Tokyo,Swimming,400m freestyle,Bronze,Women
Hermine Marie Stindt,Germany,GER,Summer,1912,Stockholm,Swimming,4x100m freestyle relay,Silver,Women
Staciana Stitts (-Winfield),United States,USA,Summer,2000,Sydney,Swimming,4x100m medley relay,Gold,Women
Shirley Anne Stobs,United States,USA,Summer,1960,Roma,Swimming,4x100m freestyle relay,Gold,Women
Hannah Stockbauer,Germany,GER,Summer,2004,Athina,Swimming,4x200m freestyle relay,Bronze,Women
"Marcus William ""Mark"" Stockwell",Australia,AUS,Summer,1984,Los Angeles,Swimming,100m freestyle,Silver,Men
"Marcus William ""Mark"" Stockwell",Australia,AUS,Summer,1984,Los Angeles,Swimming,4x100m freestyle relay,Silver,Men
"Marcus William ""Mark"" Stockwell",Australia,AUS,Summer,1984,Los Angeles,Swimming,4x100m medley relay,Bronze,Men
Hayden Ernest Stoeckel,Australia,AUS,Summer,2008,Beijing,Swimming,100m backstroke,Bronze,Men
Hayden Ernest Stoeckel,Australia,AUS,Summer,2008,Beijing,Swimming,4x100m medley relay,Silver,Men
Hayden Ernest Stoeckel,Australia,AUS,Summer,2012,London,Swimming,4x100m medley relay,Bronze,Men
Sharon Marie Stouder (-Clark),United States,USA,Summer,1964,Tokyo,Swimming,100m freestyle,Silver,Women
Sharon Marie Stouder (-Clark),United States,USA,Summer,1964,Tokyo,Swimming,4x100m freestyle relay,Gold,Women
Sharon Marie Stouder (-Clark),United States,USA,Summer,1964,Tokyo,Swimming,100m butterfly,Gold,Women
Sharon Marie Stouder (-Clark),United States,USA,Summer,1964,Tokyo,Swimming,4x100m medley relay,Gold,Women
Julia Gray Stowers,United States,USA,Summer,2000,Sydney,Swimming,4x200m freestyle relay,Gold,Women
"Rodney ""Rod"" Strachan",United States,USA,Summer,1976,Montreal,Swimming,400m individual medley,Gold,Men
Astrid Strau,East Germany,GDR,Summer,1988,Seoul,Swimming,800m freestyle,Silver,Women
Jrmy Stravius,France,FRA,Summer,2012,London,Swimming,4x100m freestyle relay,Gold,Men
Jrmy Stravius,France,FRA,Summer,2012,London,Swimming,4x200m freestyle relay,Silver,Men
Jrmy Stravius,France,FRA,Summer,2016,Rio de Janeiro,Swimming,4x100m freestyle relay,Silver,Men
Andrew Edward Strenk,United States,USA,Summer,1968,Mexico City,Swimming,4x200m freestyle relay,Gold,Men
Rainer Strohbach,East Germany,GDR,Summer,1980,Moskva,Swimming,4x200m freestyle relay,Silver,Men
Nataliya Gennadyevna Strunnikova,Soviet Union,URS,Summer,1980,Moskva,Swimming,4x100m medley relay,Bronze,Women
Vladimir Vasilyevich Struzhanov,Soviet Union,URS,Summer,1956,Melbourne,Swimming,4x200m freestyle relay,Bronze,Men
Ivar Stukolkin,Soviet Union,URS,Summer,1980,Moskva,Swimming,400m freestyle,Bronze,Men
Ivar Stukolkin,Soviet Union,URS,Summer,1980,Moskva,Swimming,4x200m freestyle relay,Gold,Men
Shigeo Sugiura,Japan,JPN,Summer,1936,Berlin,Swimming,4x200m freestyle relay,Gold,Men
Aleksandr Nikolayevich Sukhorukov,Russia,RUS,Summer,2008,Beijing,Swimming,4x200m freestyle relay,Silver,Men
Eamon Wade Sullivan,Australia,AUS,Summer,2008,Beijing,Swimming,100m freestyle,Silver,Men
Eamon Wade Sullivan,Australia,AUS,Summer,2008,Beijing,Swimming,4x100m freestyle relay,Bronze,Men
Eamon Wade Sullivan,Australia,AUS,Summer,2008,Beijing,Swimming,4x100m medley relay,Silver,Men
Sun Yang,China,CHN,Summer,2012,London,Swimming,200m freestyle,Silver,Men
Sun Yang,China,CHN,Summer,2012,London,Swimming,400m freestyle,Gold,Men
Sun Yang,China,CHN,Summer,2012,London,Swimming,1500m freestyle,Gold,Men
Sun Yang,China,CHN,Summer,2012,London,Swimming,4x200m freestyle relay,Bronze,Men
Sun Yang,China,CHN,Summer,2016,Rio de Janeiro,Swimming,200m freestyle,Gold,Men
Sun Yang,China,CHN,Summer,2016,Rio de Janeiro,Swimming,400m freestyle,Silver,Men
Sun Ye,China,CHN,Summer,2008,Beijing,Swimming,4x100m medley relay,Bronze,Women
Yury Suzdaltsev,Soviet Union,URS,Summer,1968,Mexico City,Swimming,4x100m medley relay,Bronze,Men
Daichi Suzuki,Japan,JPN,Summer,1988,Seoul,Swimming,100m backstroke,Gold,Men
Hiroshi Suzuki,Japan,JPN,Summer,1952,Helsinki,Swimming,100m freestyle,Silver,Men
Hiroshi Suzuki,Japan,JPN,Summer,1952,Helsinki,Swimming,4x200m freestyle relay,Silver,Men
Satomi Suzuki,Japan,JPN,Summer,2012,London,Swimming,100m breaststroke,Bronze,Women
Satomi Suzuki,Japan,JPN,Summer,2012,London,Swimming,200m breaststroke,Silver,Women
Satomi Suzuki,Japan,JPN,Summer,2012,London,Swimming,4x100m medley relay,Bronze,Women
Malin Erika Helena Svahnstrm (-Borensj),Sweden,SWE,Summer,2000,Sydney,Swimming,4x100m freestyle relay,Bronze,Women
Elvi Johanne Svendsen (-Carlsen),Denmark,DEN,Summer,1948,London,Swimming,4x100m freestyle relay,Silver,Women
Jane Ellen Swagerty (-Hill),United States,USA,Summer,1968,Mexico City,Swimming,100m backstroke,Bronze,Women
Jane Ellen Swagerty (-Hill),United States,USA,Summer,1968,Mexico City,Swimming,4x100m medley relay,Gold,Women
Oleksandr Oleksandrovych Sydorenko,Soviet Union,URS,Summer,1980,Moskva,Swimming,400m individual medley,Gold,Men
Denys Olehovych Sylantiev,Ukraine,UKR,Summer,2000,Sydney,Swimming,200m butterfly,Silver,Men
Lszl Szabados,Hungary,HUN,Summer,1932,Los Angeles,Swimming,4x200m freestyle relay,Bronze,Men
Jzsef Szab,Hungary,HUN,Summer,1988,Seoul,Swimming,200m breaststroke,Gold,Men
Tnde Szab,Hungary,HUN,Summer,1992,Barcelona,Swimming,100m backstroke,Silver,Women
Elemr Szathmry,Hungary,HUN,Summer,1948,London,Swimming,4x200m freestyle relay,Silver,Men
Andrs Szkely,Hungary,HUN,Summer,1932,Los Angeles,Swimming,4x200m freestyle relay,Bronze,Men
va Szkely (-Gyarmati),Hungary,HUN,Summer,1952,Helsinki,Swimming,200m breaststroke,Gold,Women
va Szkely (-Gyarmati),Hungary,HUN,Summer,1956,Melbourne,Swimming,200m breaststroke,Silver,Women
Andreas Szigat,Germany,GER,Summer,1992,Barcelona,Swimming,4x100m freestyle relay,Bronze,Men
"Katalin Szke (Homonnai-, -Markovits, -Domjan)",Hungary,HUN,Summer,1952,Helsinki,Swimming,100m freestyle,Gold,Women
"Katalin Szke (Homonnai-, -Markovits, -Domjan)",Hungary,HUN,Summer,1952,Helsinki,Swimming,4x100m freestyle relay,Gold,Women
Rafa Marek Szukaa,Poland,POL,Summer,1992,Barcelona,Swimming,100m butterfly,Silver,Men
Masaharu Taguchi,Japan,JPN,Summer,1936,Berlin,Swimming,4x200m freestyle relay,Gold,Men
Nobutaka Taguchi,Japan,JPN,Summer,1972,Munich,Swimming,100m breaststroke,Gold,Men
Nobutaka Taguchi,Japan,JPN,Summer,1972,Munich,Swimming,200m breaststroke,Bronze,Men
Yasuko Tajima,Japan,JPN,Summer,2000,Sydney,Swimming,400m individual medley,Silver,Women
Katsuo Takaishi,Japan,JPN,Summer,1928,Amsterdam,Swimming,100m freestyle,Bronze,Men
Katsuo Takaishi,Japan,JPN,Summer,1928,Amsterdam,Swimming,4x200m freestyle relay,Silver,Men
Tan Miao,China,CHN,Summer,2008,Beijing,Swimming,4x200m freestyle relay,Silver,Women
"Richard Tsugio ""Sonny"" Tanabe, Jr.",United States,USA,Summer,1956,Melbourne,Swimming,4x200m freestyle relay,Silver,Men
Masami Tanaka,Japan,JPN,Summer,2000,Sydney,Swimming,4x100m medley relay,Bronze,Women
Satoko Tanaka (-Uji),Japan,JPN,Summer,1960,Roma,Swimming,100m backstroke,Bronze,Women
Tang Jingzhi,China,CHN,Summer,2008,Beijing,Swimming,4x200m freestyle relay,Silver,Women
Tang Yi,China,CHN,Summer,2012,London,Swimming,100m freestyle,Bronze,Women
Teijiro Tanikawa,Japan,JPN,Summer,1952,Helsinki,Swimming,4x200m freestyle relay,Silver,Men
Elaine Tanner (-Watt),Canada,CAN,Summer,1968,Mexico City,Swimming,4x100m freestyle relay,Bronze,Women
Elaine Tanner (-Watt),Canada,CAN,Summer,1968,Mexico City,Swimming,100m backstroke,Silver,Women
Elaine Tanner (-Watt),Canada,CAN,Summer,1968,Mexico City,Swimming,200m backstroke,Silver,Women
