Athlete,NOC,Year,Season,City,Sport,Event,Medal,Country
Panipak Wongpattanakit,THA,2020,Summer,Tokyo,Taekwondo,"Flyweight, Women",Gold,Thailand
Adriana Cerezo,ESP,2020,Summer,Tokyo,Taekwondo,"Flyweight, Women",Silver,Spain
Anastasija Zolotic,USA,2020,Summer,Tokyo,Taekwondo,"Featherweight, Women",Gold,United States
Tatyana Minina,ROC,2020,Summer,Tokyo,Taekwondo,"Featherweight, Women",Silver,Russia
Matea Jelić,CRO,2020,Summer,Tokyo,Taekwondo,"Welterweight, Women",Gold,Croatia
Lauren Williams,GBR,2020,Summer,Tokyo,Taekwondo,"Welterweight, Women",Silver,UK
Milica Mandić,SRB,2020,Summer,Tokyo,Taekwondo,"Heavyweight, Women",Gold,Serbia
Lee Da-Bin,KOR,2020,Summer,Tokyo,Taekwondo,"Heavyweight, Women",Silver,South Korea
Alexander Zverev,GER,2020,Summer,Tokyo,Tennis,"Singles, Men",Gold,Germany
Karen Khachanov,ROC,2020,Summer,Tokyo,Tennis,"Singles, Men",Silver,Russia
Pablo Carreño Busta,ESP,2020,Summer,Tokyo,Tennis,"Singles, Men",Bronze,Spain
,CRO,2020,Summer,Tokyo,Tennis,"Doubles, Men",Gold,Croatia
,CRO,2020,Summer,Tokyo,Tennis,"Doubles, Men",Silver,Croatia
,NZL,2020,Summer,Tokyo,Tennis,"Doubles, Men",Bronze,New Zealand
Belinda Bencic,SUI,2020,Summer,Tokyo,Tennis,"Singles, Women",Gold,Switzerland
Markéta Vondroušová,CZE,2020,Summer,Tokyo,Tennis,"Singles, Women",Silver,Czech Republic
Elina Svitolina,UKR,2020,Summer,Tokyo,Tennis,"Singles, Women",Bronze,Ukraine
,CZE,2020,Summer,Tokyo,Tennis,"Doubles, Women",Gold,Czech Republic
,SUI,2020,Summer,Tokyo,Tennis,"Doubles, Women",Silver,Switzerland
,BRA,2020,Summer,Tokyo,Tennis,"Doubles, Women",Bronze,Brazil
,ROC,2020,Summer,Tokyo,Tennis,"Doubles, Mixed",Gold,Russia
,ROC,2020,Summer,Tokyo,Tennis,"Doubles, Mixed",Silver,Russia
,AUS,2020,Summer,Tokyo,Tennis,"Doubles, Mixed",Bronze,Australia
Ivan Litvinovich,BLR,2020,Summer,Tokyo,Trampolining,"Individual, Men",Gold,Belarus
Dong Dong,CHN,2020,Summer,Tokyo,Trampolining,"Individual, Men",Silver,China
Dylan Schmidt,NZL,2020,Summer,Tokyo,Trampolining,"Individual, Men",Bronze,New Zealand
Zhu Xueying,CHN,2020,Summer,Tokyo,Trampolining,"Individual, Women",Gold,China
Liu Lingling,CHN,2020,Summer,Tokyo,Trampolining,"Individual, Women",Silver,China
Bryony Page,GBR,2020,Summer,Tokyo,Trampolining,"Individual, Women",Bronze,UK
Kristian Blummenfelt,NOR,2020,Summer,Tokyo,Triathlon,"Olympic Distance, Men",Gold,Norway
Alex Yee,GBR,2020,Summer,Tokyo,Triathlon,"Olympic Distance, Men",Silver,UK
Hayden Wilde,NZL,2020,Summer,Tokyo,Triathlon,"Olympic Distance, Men",Bronze,New Zealand
Flora Duffy,BER,2020,Summer,Tokyo,Triathlon,"Olympic Distance, Women",Gold,Bermuda
Georgia Taylor-Brown,GBR,2020,Summer,Tokyo,Triathlon,"Olympic Distance, Women",Silver,UK
Katie Zaferes,USA,2020,Summer,Tokyo,Triathlon,"Olympic Distance, Women",Bronze,United States
,GBR,2020,Summer,Tokyo,Triathlon,"Relay, Mixed",Gold,UK
,USA,2020,Summer,Tokyo,Triathlon,"Relay, Mixed",Silver,United States
,FRA,2020,Summer,Tokyo,Triathlon,"Relay, Mixed",Bronze,France
,FRA,2020,Summer,Tokyo,Volleyball,"Volleyball, Men",Gold,France
,ROC,2020,Summer,Tokyo,Volleyball,"Volleyball, Men",Silver,Russia
,ARG,2020,Summer,Tokyo,Volleyball,"Volleyball, Men",Bronze,Argentina
,USA,2020,Summer,Tokyo,Volleyball,"Volleyball, Women",Gold,United States
,BRA,2020,Summer,Tokyo,Volleyball,"Volleyball, Women",Silver,Brazil
,SRB,2020,Summer,Tokyo,Volleyball,"Volleyball, Women",Bronze,Serbia
,SRB,2020,Summer,Tokyo,Water Polo,"Water Polo, Men",Gold,Serbia
,GRE,2020,Summer,Tokyo,Water Polo,"Water Polo, Men",Silver,Greece
,HUN,2020,Summer,Tokyo,Water Polo,"Water Polo, Men",Bronze,Hungary
,USA,2020,Summer,Tokyo,Water Polo,"Water Polo, Women",Gold,United States
,ESP,2020,Summer,Tokyo,Water Polo,"Water Polo, Women",Silver,Spain
,HUN,2020,Summer,Tokyo,Water Polo,"Water Polo, Women",Bronze,Hungary
Li Fabin,CHN,2020,Summer,Tokyo,Weightlifting,"Featherweight, Men",Gold,China
Eko Yuli Irawan,INA,2020,Summer,Tokyo,Weightlifting,"Featherweight, Men",Silver,Indonesia
Igor Son,KAZ,2020,Summer,Tokyo,Weightlifting,"Featherweight, Men",Bronze,Kazakhstan
Chen Lijun,CHN,2020,Summer,Tokyo,Weightlifting,"Lightweight, Men",Gold,China
Luis Mosquera,COL,2020,Summer,Tokyo,Weightlifting,"Lightweight, Men",Silver,Colombia
Mirko Zanni,ITA,2020,Summer,Tokyo,Weightlifting,"Lightweight, Men",Bronze,Italy
Shi Zhiyong,CHN,2020,Summer,Tokyo,Weightlifting,"Middleweight, Men",Gold,China
Julio Mayora,VEN,2020,Summer,Tokyo,Weightlifting,"Middleweight, Men",Silver,Venezuela
Rahmat Abdullah,INA,2020,Summer,Tokyo,Weightlifting,"Middleweight, Men",Bronze,Indonesia
Lu Xiaojun,CHN,2020,Summer,Tokyo,Weightlifting,"Light-Heavyweight, Men",Gold,China
Zacarías Bonnat,DOM,2020,Summer,Tokyo,Weightlifting,"Light-Heavyweight, Men",Silver,Dominican Republic
Antonino Pizzolato,ITA,2020,Summer,Tokyo,Weightlifting,"Light-Heavyweight, Men",Bronze,Italy
Fares Ibrahim,QAT,2020,Summer,Tokyo,Weightlifting,"Middle-Heavyweight, Men",Gold,Qatar
Keydomar Vallenilla,VEN,2020,Summer,Tokyo,Weightlifting,"Middle-Heavyweight, Men",Silver,Venezuela
Anton Pliesnoi,GEO,2020,Summer,Tokyo,Weightlifting,"Middle-Heavyweight, Men",Bronze,Georgia
Akbar Djuraev,UZB,2020,Summer,Tokyo,Weightlifting,"Heavyweight, Men",Gold,Uzbekistan
Simon Martirosyan,ARM,2020,Summer,Tokyo,Weightlifting,"Heavyweight, Men",Silver,Armenia
Artūrs Plēsnieks,LAT,2020,Summer,Tokyo,Weightlifting,"Heavyweight, Men",Bronze,Latvia
Lasha Talakhadze,GEO,2020,Summer,Tokyo,Weightlifting,"Super-Heavyweight, Men",Gold,Georgia
Ali Davoudi,IRI,2020,Summer,Tokyo,Weightlifting,"Super-Heavyweight, Men",Silver,Iran
Man Asaad,SYR,2020,Summer,Tokyo,Weightlifting,"Super-Heavyweight, Men",Bronze,Syria
Hou Zhihui,CHN,2020,Summer,Tokyo,Weightlifting,"Flyweight, Women",Gold,China
Mirabai Chanu,IND,2020,Summer,Tokyo,Weightlifting,"Flyweight, Women",Silver,India
Windy Cantika Aisah,INA,2020,Summer,Tokyo,Weightlifting,"Flyweight, Women",Bronze,Indonesia
Hidilyn Diaz,PHI,2020,Summer,Tokyo,Weightlifting,"Featherweight, Women",Gold,Philippines
Liao Qiuyun,CHN,2020,Summer,Tokyo,Weightlifting,"Featherweight, Women",Silver,China
Zulfiya Chinshanlo,KAZ,2020,Summer,Tokyo,Weightlifting,"Featherweight, Women",Bronze,Kazakhstan
Kuo Hsing-Chun,TPE,2020,Summer,Tokyo,Weightlifting,"Lightweight, Women",Gold,Taiwan
Polina Guryeva,TKM,2020,Summer,Tokyo,Weightlifting,"Lightweight, Women",Silver,Turkmenistan
Mikiko Ando,JPN,2020,Summer,Tokyo,Weightlifting,"Lightweight, Women",Bronze,Japan
Maude Charron,CAN,2020,Summer,Tokyo,Weightlifting,"Middleweight, Women",Gold,Canada
Giorgia Bordignon,ITA,2020,Summer,Tokyo,Weightlifting,"Middleweight, Women",Silver,Italy
Chen Wen-Huei,TPE,2020,Summer,Tokyo,Weightlifting,"Middleweight, Women",Bronze,Taiwan
Neisi Dajomes,ECU,2020,Summer,Tokyo,Weightlifting,"Light-Heavyweight, Women",Gold,Ecuador
Kate Nye,USA,2020,Summer,Tokyo,Weightlifting,"Light-Heavyweight, Women",Silver,United States
Aremi Fuentes,MEX,2020,Summer,Tokyo,Weightlifting,"Light-Heavyweight, Women",Bronze,Mexico
Wang Zhouyu,CHN,2020,Summer,Tokyo,Weightlifting,"Heavyweight, Women",Gold,China
Tamara Salazar,ECU,2020,Summer,Tokyo,Weightlifting,"Heavyweight, Women",Silver,Ecuador
Crismery Santana,DOM,2020,Summer,Tokyo,Weightlifting,"Heavyweight, Women",Bronze,Dominican Republic
Li Wenwen,CHN,2020,Summer,Tokyo,Weightlifting,"Super-Heavyweight, Women",Gold,China
Emily Campbell,GBR,2020,Summer,Tokyo,Weightlifting,"Super-Heavyweight, Women",Silver,UK
Sarah Robles,USA,2020,Summer,Tokyo,Weightlifting,"Super-Heavyweight, Women",Bronze,United States
Luis Alberto Orta,CUB,2020,Summer,Tokyo,Wrestling,"Featherweight, Greco-Roman, Men",Gold,Cuba
Kenichiro Fumita,JPN,2020,Summer,Tokyo,Wrestling,"Featherweight, Greco-Roman, Men",Silver,Japan
Mohammadreza Geraei,IRI,2020,Summer,Tokyo,Wrestling,"Welterweight, Greco-Roman, Men",Gold,Iran
Parviz Nasibov,UKR,2020,Summer,Tokyo,Wrestling,"Welterweight, Greco-Roman, Men",Silver,Ukraine
Tamás Lőrincz,HUN,2020,Summer,Tokyo,Wrestling,"Middleweight, Greco-Roman, Men",Gold,Hungary
Akzhol Makhmudov,KGZ,2020,Summer,Tokyo,Wrestling,"Middleweight, Greco-Roman, Men",Silver,Kyrgyzstan
Zhan Beleniuk,UKR,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Greco-Roman, Men",Gold,Ukraine
Viktor Lőrincz,HUN,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Greco-Roman, Men",Silver,Hungary
Musa Yevloyev,ROC,2020,Summer,Tokyo,Wrestling,"Heavyweight, Greco-Roman, Men",Gold,Russia
Artur Aleksanyan,ARM,2020,Summer,Tokyo,Wrestling,"Heavyweight, Greco-Roman, Men",Silver,Armenia
Mijaín López,CUB,2020,Summer,Tokyo,Wrestling,"Super-Heavyweight, Greco-Roman, Men",Gold,Cuba
Iakobi Kajaia,GEO,2020,Summer,Tokyo,Wrestling,"Super-Heavyweight, Greco-Roman, Men",Silver,Georgia
Zavur Uguyev,ROC,2020,Summer,Tokyo,Wrestling,"Featherweight, Freestyle, Men",Gold,Russia
Ravi Kumar,IND,2020,Summer,Tokyo,Wrestling,"Featherweight, Freestyle, Men",Silver,India
Takuto Otoguro,JPN,2020,Summer,Tokyo,Wrestling,"Welterweight, Freestyle, Men",Gold,Japan
Hacı Əliyev,AZE,2020,Summer,Tokyo,Wrestling,"Welterweight, Freestyle, Men",Silver,Azerbaijan
Zaurbek Sidakov,ROC,2020,Summer,Tokyo,Wrestling,"Middleweight, Freestyle, Men",Gold,Russia
Mahamedkhabib Kadzimahamedau,BLR,2020,Summer,Tokyo,Wrestling,"Middleweight, Freestyle, Men",Silver,Belarus
David Taylor,USA,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Freestyle, Men",Gold,United States
Hassan Yazdani,IRI,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Freestyle, Men",Silver,Iran
Abdulrashid Sadulayev,ROC,2020,Summer,Tokyo,Wrestling,"Heavyweight, Freestyle, Men",Gold,Russia
Kyle Snyder,USA,2020,Summer,Tokyo,Wrestling,"Heavyweight, Freestyle, Men",Silver,United States
Gable Steveson,USA,2020,Summer,Tokyo,Wrestling,"Super-Heavyweight, Freestyle, Men",Gold,United States
Geno Petriashvili,GEO,2020,Summer,Tokyo,Wrestling,"Super-Heavyweight, Freestyle, Men",Silver,Georgia
Yui Susaki,JPN,2020,Summer,Tokyo,Wrestling,"Flyweight, Freestyle, Women",Gold,Japan
Sun Yanan,CHN,2020,Summer,Tokyo,Wrestling,"Flyweight, Freestyle, Women",Silver,China
Mayu Mukaida,JPN,2020,Summer,Tokyo,Wrestling,"Featherweight, Freestyle, Women",Gold,Japan
Pang Qianyu,CHN,2020,Summer,Tokyo,Wrestling,"Featherweight, Freestyle, Women",Silver,China
Risako Kawai,JPN,2020,Summer,Tokyo,Wrestling,"Lightweight, Freestyle, Women",Gold,Japan
Iryna Kurachkina,BLR,2020,Summer,Tokyo,Wrestling,"Lightweight, Freestyle, Women",Silver,Belarus
Yukako Kawai,JPN,2020,Summer,Tokyo,Wrestling,"Middleweight, Freestyle, Women",Gold,Japan
Aysuluu Tynybekova,KGZ,2020,Summer,Tokyo,Wrestling,"Middleweight, Freestyle, Women",Silver,Kyrgyzstan
Tamyra Mensah-Stock,USA,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Freestyle, Women",Gold,United States
Blessing Oborududu,NGR,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Freestyle, Women",Silver,Nigeria
Aline Rotter-Focken,GER,2020,Summer,Tokyo,Wrestling,"Heavyweight, Freestyle, Women",Gold,Germany
Adeline Gray,USA,2020,Summer,Tokyo,Wrestling,"Heavyweight, Freestyle, Women",Silver,United States
Mai Murakami,JPN,2020,Summer,Tokyo,Artistic Gymnastics,"Floor Exercise, Women",Bronze (Tie),Japan
Angelina Melnikova,ROC,2020,Summer,Tokyo,Artistic Gymnastics,"Floor Exercise, Women",Bronze (Tie),Russia
Gianmarco Tamberi,ITA,2020,Summer,Tokyo,Athletics,"High Jump, Men",Gold (Tie),Italy
Mutaz Essa Barshim,QAT,2020,Summer,Tokyo,Athletics,"High Jump, Men",Gold (Tie),Qatar
Ryomei Tanaka,JPN,2020,Summer,Tokyo,Boxing,"Flyweight, Men",Bronze (Tie),Japan
Saken Bibosinov,KAZ,2020,Summer,Tokyo,Boxing,"Flyweight, Men",Bronze (Tie),Kazakhstan
Lázaro Álvarez,CUB,2020,Summer,Tokyo,Boxing,"Featherweight, Men",Bronze (Tie),Cuba
Samuel Takyi,GHA,2020,Summer,Tokyo,Boxing,"Featherweight, Men",Bronze (Tie),Ghana
Hovhannes Bachkov,ARM,2020,Summer,Tokyo,Boxing,"Lightweight, Men",Bronze (Tie),Armenia
Harry Garside,AUS,2020,Summer,Tokyo,Boxing,"Lightweight, Men",Bronze (Tie),Australia
Aidan Walsh,IRL,2020,Summer,Tokyo,Boxing,"Welterweight, Men",Bronze (Tie),Ireland
Andrey Zamkovoy,ROC,2020,Summer,Tokyo,Boxing,"Welterweight, Men",Bronze (Tie),Russia
Eumir Marcial,PHI,2020,Summer,Tokyo,Boxing,"Middleweight, Men",Bronze (Tie),Philippines
Gleb Bakshi,ROC,2020,Summer,Tokyo,Boxing,"Middleweight, Men",Bronze (Tie),Russia
Loren Alfonso,AZE,2020,Summer,Tokyo,Boxing,"Light-Heavyweight, Men",Bronze (Tie),Azerbaijan
Imam Khatayev,ROC,2020,Summer,Tokyo,Boxing,"Light-Heavyweight, Men",Bronze (Tie),Russia
Abner Teixeira,BRA,2020,Summer,Tokyo,Boxing,"Heavyweight, Men",Bronze (Tie),Brazil
David Nyika,NZL,2020,Summer,Tokyo,Boxing,"Heavyweight, Men",Bronze (Tie),New Zealand
Frazer Clarke,GBR,2020,Summer,Tokyo,Boxing,"Super-Heavyweight, Men",Bronze (Tie),UK
Kamshybek Kunkabayev,KAZ,2020,Summer,Tokyo,Boxing,"Super-Heavyweight, Men",Bronze (Tie),Kazakhstan
Tsukimi Namiki,JPN,2020,Summer,Tokyo,Boxing,"Flyweight, Women",Bronze (Tie),Japan
Huang Hsiao-Wen,TPE,2020,Summer,Tokyo,Boxing,"Flyweight, Women",Bronze (Tie),Taiwan
Karriss Artingstall,GBR,2020,Summer,Tokyo,Boxing,"Featherweight, Women",Bronze (Tie),UK
Irma Testa,ITA,2020,Summer,Tokyo,Boxing,"Featherweight, Women",Bronze (Tie),Italy
Mira Potkonen,FIN,2020,Summer,Tokyo,Boxing,"Lightweight, Women",Bronze (Tie),Finland
Sudaporn Seesondee,THA,2020,Summer,Tokyo,Boxing,"Lightweight, Women",Bronze (Tie),Thailand
Lovlina Borgohain,IND,2020,Summer,Tokyo,Boxing,"Welterweight, Women",Bronze (Tie),India
Oshae Jones,USA,2020,Summer,Tokyo,Boxing,"Welterweight, Women",Bronze (Tie),United States
Nouchka Fontijn,NED,2020,Summer,Tokyo,Boxing,"Middleweight, Women",Bronze (Tie),Netherlands
Zemfira Magomedaliyeva,ROC,2020,Summer,Tokyo,Boxing,"Middleweight, Women",Bronze (Tie),Russia
Luka Mkheidze,FRA,2020,Summer,Tokyo,Judo,"Extra-Lightweight, Men",Bronze (Tie),France
Yeldos Smetov,KAZ,2020,Summer,Tokyo,Judo,"Extra-Lightweight, Men",Bronze (Tie),Kazakhstan
Daniel Cargnin,BRA,2020,Summer,Tokyo,Judo,"Half-Lightweight, Men",Bronze (Tie),Brazil
An Ba-Ul,KOR,2020,Summer,Tokyo,Judo,"Half-Lightweight, Men",Bronze (Tie),South Korea
An Chang-Rim,KOR,2020,Summer,Tokyo,Judo,"Lightweight, Men",Bronze (Tie),South Korea
Tsend-Ochiryn Tsogtbaatar,MGL,2020,Summer,Tokyo,Judo,"Lightweight, Men",Bronze (Tie),Mongolia
Shamil Borchashvili,AUT,2020,Summer,Tokyo,Judo,"Half-Middleweight, Men",Bronze (Tie),Austria
Matthias Casse,BEL,2020,Summer,Tokyo,Judo,"Half-Middleweight, Men",Bronze (Tie),Belgium
Krisztián Tóth,HUN,2020,Summer,Tokyo,Judo,"Middleweight, Men",Bronze (Tie),Hungary
Davlat Bobonov,UZB,2020,Summer,Tokyo,Judo,"Middleweight, Men",Bronze (Tie),Uzbekistan
Jorge Fonseca,POR,2020,Summer,Tokyo,Judo,"Half-Heavyweight, Men",Bronze (Tie),Portugal
Niyaz Ilyasov,ROC,2020,Summer,Tokyo,Judo,"Half-Heavyweight, Men",Bronze (Tie),Russia
Teddy Riner,FRA,2020,Summer,Tokyo,Judo,"Heavyweight, Men",Bronze (Tie),France
Tamerlan Bashayev,ROC,2020,Summer,Tokyo,Judo,"Heavyweight, Men",Bronze (Tie),Russia
Mönkhbatyn Urantsetseg,MGL,2020,Summer,Tokyo,Judo,"Extra-Lightweight, Women",Bronze (Tie),Mongolia
Dar'ia Bilodid,UKR,2020,Summer,Tokyo,Judo,"Extra-Lightweight, Women",Bronze (Tie),Ukraine
Chelsie Giles,GBR,2020,Summer,Tokyo,Judo,"Half-Lightweight, Women",Bronze (Tie),UK
Odette Giuffrida,ITA,2020,Summer,Tokyo,Judo,"Half-Lightweight, Women",Bronze (Tie),Italy
Jessica Klimkait,CAN,2020,Summer,Tokyo,Judo,"Lightweight, Women",Bronze (Tie),Canada
Tsukasa Yoshida,JPN,2020,Summer,Tokyo,Judo,"Lightweight, Women",Bronze (Tie),Japan
Catherine Beauchemin-Pinard,CAN,2020,Summer,Tokyo,Judo,"Half-Middleweight, Women",Bronze (Tie),Canada
Maria Centracchio,ITA,2020,Summer,Tokyo,Judo,"Half-Middleweight, Women",Bronze (Tie),Italy
Sanne van Dijke,NED,2020,Summer,Tokyo,Judo,"Middleweight, Women",Bronze (Tie),Netherlands
Madina Taymazova,ROC,2020,Summer,Tokyo,Judo,"Middleweight, Women",Bronze (Tie),Russia
Mayra Aguiar,BRA,2020,Summer,Tokyo,Judo,"Half-Heavyweight, Women",Bronze (Tie),Brazil
Anna-Maria Wagner,GER,2020,Summer,Tokyo,Judo,"Half-Heavyweight, Women",Bronze (Tie),Germany
Iryna Kindzerska,AZE,2020,Summer,Tokyo,Judo,"Heavyweight, Women",Bronze (Tie),Azerbaijan
Romane Dicko,FRA,2020,Summer,Tokyo,Judo,"Heavyweight, Women",Bronze (Tie),France
Ali Sofuoğlu,TUR,2020,Summer,Tokyo,Karate,"Kata, Men",Bronze (Tie),Turkey
Ariel Torres,USA,2020,Summer,Tokyo,Karate,"Kata, Men",Bronze (Tie),United States
Abdel Rahman Al-Masatfa,JOR,2020,Summer,Tokyo,Karate,"Kumite, ≤67 kg, Men",Bronze (Tie),Jordan
Darkhan Asadilov,KAZ,2020,Summer,Tokyo,Karate,"Kumite, ≤67 kg, Men",Bronze (Tie),Kazakhstan
Gábor Hárspataki,HUN,2020,Summer,Tokyo,Karate,"Kumite, ≤75 kg, Men",Bronze (Tie),Hungary
Stanislav Horuna,UKR,2020,Summer,Tokyo,Karate,"Kumite, ≤75 kg, Men",Bronze (Tie),Ukraine
Ryutaro Araga,JPN,2020,Summer,Tokyo,Karate,"Kumite, >75 kg, Men",Bronze (Tie),Japan
Uğur Aktaş,TUR,2020,Summer,Tokyo,Karate,"Kumite, >75 kg, Men",Bronze (Tie),Turkey
Grace Lau,HKG,2020,Summer,Tokyo,Karate,"Kata, Women",Bronze (Tie),China
Viviana Bottaro,ITA,2020,Summer,Tokyo,Karate,"Kata, Women",Bronze (Tie),Italy
Bettina Plank,AUT,2020,Summer,Tokyo,Karate,"Kumite, ≤55 kg, Women",Bronze (Tie),Austria
Wen Tzu-Yun,TPE,2020,Summer,Tokyo,Karate,"Kumite, ≤55 kg, Women",Bronze (Tie),Taiwan
Giana Lotfy,EGY,2020,Summer,Tokyo,Karate,"Kumite, ≤61 kg, Women",Bronze (Tie),Egypt
Merve Çoban,TUR,2020,Summer,Tokyo,Karate,"Kumite, ≤61 kg, Women",Bronze (Tie),Turkey
Gong Li,CHN,2020,Summer,Tokyo,Karate,"Kumite, >61 kg, Women",Bronze (Tie),China
Sofya Berultseva,KAZ,2020,Summer,Tokyo,Karate,"Kumite, >61 kg, Women",Bronze (Tie),Kazakhstan
Jang Jun,KOR,2020,Summer,Tokyo,Taekwondo,"Flyweight, Men",Bronze (Tie),South Korea
Mikhail Artamonov,ROC,2020,Summer,Tokyo,Taekwondo,"Flyweight, Men",Bronze (Tie),Russia
Zhao Shuai,CHN,2020,Summer,Tokyo,Taekwondo,"Featherweight, Men",Bronze (Tie),China
Hakan Reçber,TUR,2020,Summer,Tokyo,Taekwondo,"Featherweight, Men",Bronze (Tie),Turkey
Toni Kanaet,CRO,2020,Summer,Tokyo,Taekwondo,"Welterweight, Men",Bronze (Tie),Croatia
Seif Eissa,EGY,2020,Summer,Tokyo,Taekwondo,"Welterweight, Men",Bronze (Tie),Egypt
Rafael Alba,CUB,2020,Summer,Tokyo,Taekwondo,"Heavyweight, Men",Bronze (Tie),Cuba
In Gyo-Don,KOR,2020,Summer,Tokyo,Taekwondo,"Heavyweight, Men",Bronze (Tie),South Korea
Abishag Semberg,ISR,2020,Summer,Tokyo,Taekwondo,"Flyweight, Women",Bronze (Tie),Israel
Tijana Bogdanović,SRB,2020,Summer,Tokyo,Taekwondo,"Flyweight, Women",Bronze (Tie),Serbia
Lo Chia-Ling,TPE,2020,Summer,Tokyo,Taekwondo,"Featherweight, Women",Bronze (Tie),Taiwan
Hatice Kübra İlgün,TUR,2020,Summer,Tokyo,Taekwondo,"Featherweight, Women",Bronze (Tie),Turkey
Ruth Gbagbi,CIV,2020,Summer,Tokyo,Taekwondo,"Welterweight, Women",Bronze (Tie),Ivory Coast
Hedaya Malak,EGY,2020,Summer,Tokyo,Taekwondo,"Welterweight, Women",Bronze (Tie),Egypt
Althéa Laurin,FRA,2020,Summer,Tokyo,Taekwondo,"Heavyweight, Women",Bronze (Tie),France
Bianca Walkden,GBR,2020,Summer,Tokyo,Taekwondo,"Heavyweight, Women",Bronze (Tie),UK
Walihan Sailike,CHN,2020,Summer,Tokyo,Wrestling,"Featherweight, Greco-Roman, Men",Bronze (Tie),China
Sergey Yemelin,ROC,2020,Summer,Tokyo,Wrestling,"Featherweight, Greco-Roman, Men",Bronze (Tie),Russia
Mohamed Ibrahim El-Sayed,EGY,2020,Summer,Tokyo,Wrestling,"Welterweight, Greco-Roman, Men",Bronze (Tie),Egypt
Frank Stäbler,GER,2020,Summer,Tokyo,Wrestling,"Welterweight, Greco-Roman, Men",Bronze (Tie),Germany
Rafiq Hüseynov,AZE,2020,Summer,Tokyo,Wrestling,"Middleweight, Greco-Roman, Men",Bronze (Tie),Azerbaijan
Shohei Yabiku,JPN,2020,Summer,Tokyo,Wrestling,"Middleweight, Greco-Roman, Men",Bronze (Tie),Japan
Denis Kudla,GER,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Greco-Roman, Men",Bronze (Tie),Germany
Zurabi Datunashvili,SRB,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Greco-Roman, Men",Bronze (Tie),Serbia
Mohammadhadi Saravi,IRI,2020,Summer,Tokyo,Wrestling,"Heavyweight, Greco-Roman, Men",Bronze (Tie),Iran
Tadeusz Michalik,POL,2020,Summer,Tokyo,Wrestling,"Heavyweight, Greco-Roman, Men",Bronze (Tie),Poland
Sergey Semyonov,ROC,2020,Summer,Tokyo,Wrestling,"Super-Heavyweight, Greco-Roman, Men",Bronze (Tie),Russia
Rıza Kayaalp,TUR,2020,Summer,Tokyo,Wrestling,"Super-Heavyweight, Greco-Roman, Men",Bronze (Tie),Turkey
Nurislam Sanayev,KAZ,2020,Summer,Tokyo,Wrestling,"Featherweight, Freestyle, Men",Bronze (Tie),Kazakhstan
Thomas Gilman,USA,2020,Summer,Tokyo,Wrestling,"Featherweight, Freestyle, Men",Bronze (Tie),United States
Bajrang Punia,IND,2020,Summer,Tokyo,Wrestling,"Welterweight, Freestyle, Men",Bronze (Tie),India
Gadzhimurad Rashidov,ROC,2020,Summer,Tokyo,Wrestling,"Welterweight, Freestyle, Men",Bronze (Tie),Russia
Kyle Dake,USA,2020,Summer,Tokyo,Wrestling,"Middleweight, Freestyle, Men",Bronze (Tie),United States
Bekzod Abdurakhmonov,UZB,2020,Summer,Tokyo,Wrestling,"Middleweight, Freestyle, Men",Bronze (Tie),Uzbekistan
Artur Nayfonov,ROC,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Freestyle, Men",Bronze (Tie),Russia
Myles Amine,SMR,2020,Summer,Tokyo,Wrestling,"Light-Heavyweight, Freestyle, Men",Bronze (Tie),San Marino
Reineris Salas,CUB,2020,Summer,Tokyo,Wrestling,"Heavyweight, Freestyle, Men",Bronze (Tie),Cuba
Abraham Conyedo,ITA,2020,Summer,Tokyo,Wrestling,"Heavyweight, Freestyle, Men",Bronze (Tie),Italy
Amir Hossein Zare,IRI,2020,Summer,Tokyo,Wrestling,"Super-Heavyweight, Freestyle, Men",Bronze (Tie),Iran
Taha Akgül,TUR,2020,Summer,Tokyo,Wrestling,"Super-Heavyweight, Freestyle, Men",Bronze (Tie),Turkey
Mariya Stadnik,AZE,2020,Summer,Tokyo,Wrestling,"Flyweight, Freestyle, Women",Bronze (Tie),Azerbaijan
Sarah Hildebrandt,USA,2020,Summer,Tokyo,Wrestling,"Flyweight, Freestyle, Women",Bronze (Tie),United States
Vanesa Kaladzinskaya,BLR,2020,Summer,Tokyo,Wrestling,"Featherweight, Freestyle, Women",Bronze (Tie),Belarus
Bat Ochiryn Bolortuyaa,MGL,2020,Summer,Tokyo,Wrestling,"Featherweight, Freestyle, Women",Bronze (Tie),Mongolia
Evelina Nikolova,BUL,2020,Summer,Tokyo,Wrestling,"Lightweight, Freestyle, Women",Bronze (Tie),Bulgaria
Helen Maroulis,USA,2020,Summer,Tokyo,Wrestling,"Lightweight, Freestyle, Women",Bronze (Tie),United States
Taybe Yusein,BUL,2020,Summer,Tokyo,Wrestling,"Middleweight, Freestyle, Women",Bronze (Tie),Bulgaria
