Athlete,NOC,Year,Season,City,Sport,Event,Medal,Country
Hugues Zango,BUR,2020,Summer,Tokyo,Athletics,"Triple Jump, Men",Bronze,Burkina Faso
Ryan Crouser,USA,2020,Summer,Tokyo,Athletics,"Shot Put, Men",Gold,United States
Joe Kovacs,USA,2020,Summer,Tokyo,Athletics,"Shot Put, Men",Silver,United States
Tom Walsh,NZL,2020,Summer,Tokyo,Athletics,"Shot Put, Men",Bronze,New Zealand
Daniel Ståhl,SWE,2020,Summer,Tokyo,Athletics,"Discus Throw, Men",Gold,Sweden
Simon Pettersson,SWE,2020,Summer,Tokyo,Athletics,"Discus Throw, Men",Silver,Sweden
Lukas Weißhaidinger,AUT,2020,Summer,Tokyo,Athletics,"Discus Throw, Men",Bronze,Austria
Wojciech Nowicki,POL,2020,Summer,Tokyo,Athletics,"Hammer Throw, Men",Gold,Poland
Eivind Henriksen,NOR,2020,Summer,Tokyo,Athletics,"Hammer Throw, Men",Silver,Norway
Paweł Fajdek,POL,2020,Summer,Tokyo,Athletics,"Hammer Throw, Men",Bronze,Poland
Neeraj Chopra,IND,2020,Summer,Tokyo,Athletics,"Javelin Throw, Men",Gold,India
Jakub Vadlejch,CZE,2020,Summer,Tokyo,Athletics,"Javelin Throw, Men",Silver,Czech Republic
Vítězslav Veselý,CZE,2020,Summer,Tokyo,Athletics,"Javelin Throw, Men",Bronze,Czech Republic
Damian Warner,CAN,2020,Summer,Tokyo,Athletics,"Decathlon, Men",Gold,Canada
Kévin Mayer,FRA,2020,Summer,Tokyo,Athletics,"Decathlon, Men",Silver,France
Ashley Moloney,AUS,2020,Summer,Tokyo,Athletics,"Decathlon, Men",Bronze,Australia
Elaine Thompson-Herah,JAM,2020,Summer,Tokyo,Athletics,"100 metres, Women",Gold,Jamaica
Shelly-Ann Fraser-Pryce,JAM,2020,Summer,Tokyo,Athletics,"100 metres, Women",Silver,Jamaica
Shericka Jackson,JAM,2020,Summer,Tokyo,Athletics,"100 metres, Women",Bronze,Jamaica
Elaine Thompson-Herah,JAM,2020,Summer,Tokyo,Athletics,"200 metres, Women",Gold,Jamaica
