Name,Team,NOC,Season,Year,City,Sport,Event,Medal
Louis George Martin,Great Britain,GBR,Summer,1960,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Louis George Martin,Great Britain,GBR,Summer,1964,Tokyo,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Louis Martin,Pupilles de Neptune de Lille #2-1,FRA,Summer,1900,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
Louis Martin,France,FRA,Summer,1900,Paris,Swimming,"Swimming Men's 4,000 metres Freestyle",Bronze
Louis Martin,Pupilles de Neptune de Lille-1,FRA,Summer,1900,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Bronze
Mikls Martin,Hungary,HUN,Summer,1952,Helsinki,Water Polo,Water Polo Men's Water Polo,Gold
"Emile Albert David ""Milo"" Martin",Switzerland,SUI,Summer,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Silver
Paul-Ren Martin,Switzerland,SUI,Summer,1924,Paris,Athletics,Athletics Men's 800 metres,Silver
Rzvan Constantin Martin,Romania,ROU,Summer,2012,London,Weightlifting,Weightlifting Men's Lightweight,Bronze
Reginald George Warren Martin,Great Britain,GBR,Summer,1908,London,Lacrosse,Lacrosse Men's Lacrosse,Silver
Roxbert Martin,Jamaica,JAM,Summer,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
"Stephen Alexander ""Sam"" Martin",Great Britain,GBR,Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,Bronze
"Stephen Alexander ""Sam"" Martin",Great Britain,GBR,Summer,1988,Seoul,Hockey,Hockey Men's Hockey,Gold
Tony Martin,Germany,GER,Summer,2012,London,Cycling,Cycling Men's Individual Time Trial,Silver
Walden Charles Martin,United States,USA,Summer,1912,Stockholm,Cycling,"Cycling Men's Road Race, Team",Bronze
Charles William Martin,Crabe II-1,FRA,Summer,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
Charles William Martin,Crabe II-4,FRA,Summer,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
William Brittain Martin,United States,USA,Summer,1908,London,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
Lisa Frances Martin-Ondieki (-O'Dea),Australia,AUS,Summer,1988,Seoul,Athletics,Athletics Women's Marathon,Silver
Sydney Martineau,Great Britain,GBR,Summer,1912,Stockholm,Fencing,"Fencing Men's epee, Team",Silver
Jnos Martinek,Hungary,HUN,Summer,1988,Seoul,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Jnos Martinek,Hungary,HUN,Summer,1988,Seoul,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Jnos Martinek,Hungary,HUN,Summer,1996,Atlanta,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Giuseppe Martinelli,Italy,ITA,Summer,1976,Montreal,Cycling,"Cycling Men's Road Race, Individual",Silver
Silvio Martinello,Italy,ITA,Summer,1996,Atlanta,Cycling,Cycling Men's Points Race,Gold
Silvio Martinello,Italy,ITA,Summer,2000,Sydney,Cycling,Cycling Men's Madison,Bronze
Nicolae Martinescu,Romania,ROU,Summer,1968,Mexico City,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Nicolae Martinescu,Romania,ROU,Summer,1972,Munich,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Lucien Martinet,Societ Nautique de la Marne-1,FRA,Summer,1900,Paris,Rowing,Rowing Men's Coxed Pairs,Silver
Armando Martnez Limendu,Cuba,CUB,Summer,1980,Moskva,Boxing,Boxing Men's Light-Middleweight,Gold
Conchita Martnez Bernat,Spain,ESP,Summer,1992,Barcelona,Tennis,Tennis Women's Doubles,Silver
Conchita Martnez Bernat,Spain,ESP,Summer,1996,Atlanta,Tennis,Tennis Women's Doubles,Bronze
Conchita Martnez Bernat,Spain-2,ESP,Summer,2004,Athina,Tennis,Tennis Women's Doubles,Silver
Eduardo Esteban Martnez,Argentina,ARG,Summer,1988,Seoul,Volleyball,Volleyball Men's Volleyball,Bronze
Emilio Damin Martnez Martnez,Paraguay,PAR,Summer,2004,Athina,Football,Football Men's Football,Silver
Ernesto Martnez Hernndez,Cuba,CUB,Summer,1976,Montreal,Volleyball,Volleyball Men's Volleyball,Bronze
Estbaliz Martnez Yerro,Spain,ESP,Summer,1996,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Francisco Martnez Cordero,Mexico,MEX,Summer,1936,Berlin,Basketball,Basketball Men's Basketball,Bronze
Iker Martnez de Lizarduy Lizarribar,Spain,ESP,Summer,2004,Athina,Sailing,Sailing Mixed Skiff,Gold
Iker Martnez de Lizarduy Lizarribar,Spain,ESP,Summer,2008,Beijing,Sailing,Sailing Mixed Skiff,Silver
"James Michael ""Jim"" Martinez",United States,USA,Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
Joan Lino Martnez Armenteros,Spain,ESP,Summer,2004,Athina,Athletics,Athletics Men's Long Jump,Bronze
Jonder Martnez Martnez,Cuba,CUB,Summer,2004,Athina,Baseball,Baseball Men's Baseball,Gold
Jonder Martnez Martnez,Cuba,CUB,Summer,2008,Beijing,Baseball,Baseball Men's Baseball,Silver
