Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
John Phillips Naber,United States,USA,Summer,1976,Montreal,Swimming,200M Freestyle,Silver,Men
John Phillips Naber,United States,USA,Summer,1976,Montreal,Swimming,4X200M Freestyle Relay,Gold,Men
John Phillips Naber,United States,USA,Summer,1976,Montreal,Swimming,100M Backstroke,Gold,Men
John Phillips Naber,United States,USA,Summer,1976,Montreal,Swimming,200M Backstroke,Gold,Men
John Phillips Naber,United States,USA,Summer,1976,Montreal,Swimming,4X100M Medley Relay,Gold,Men
Mai Nakamura,Japan,JPN,Summer,2000,Sydney,Swimming,100M Backstroke,Silver,Women
Mai Nakamura,Japan,JPN,Summer,2000,Sydney,Swimming,4X100M Medley Relay,Bronze,Women
Reiko Nakamura,Japan,JPN,Summer,2004,Athina,Swimming,200M Backstroke,Bronze,Women
Reiko Nakamura,Japan,JPN,Summer,2008,Beijing,Swimming,200M Backstroke,Bronze,Women
Yuko Nakanishi,Japan,JPN,Summer,2004,Athina,Swimming,200M Butterfly,Bronze,Women
Miki Nakao,Japan,JPN,Summer,2000,Sydney,Swimming,200M Backstroke,Bronze,Women
Nadia Anita Louise Nall (-Richesson),United States,USA,Summer,1992,Barcelona,Swimming,100M Breaststroke,Silver,Women
Nadia Anita Louise Nall (-Richesson),United States,USA,Summer,1992,Barcelona,Swimming,200M Breaststroke,Bronze,Women
Nadia Anita Louise Nall (-Richesson),United States,USA,Summer,1992,Barcelona,Swimming,4X100M Medley Relay,Gold,Women
Eric John Namesnik,United States,USA,Summer,1992,Barcelona,Swimming,400M Individual Medley,Silver,Men
Eric John Namesnik,United States,USA,Summer,1996,Atlanta,Swimming,400M Individual Medley,Silver,Men
Lia Neal,United States,USA,Summer,2012,London,Swimming,4X100M Freestyle Relay,Bronze,Women
Lia Neal,United States,USA,Summer,2016,Rio De Janeiro,Swimming,4X100M Freestyle Relay,Silver,Women
Leah Neale,Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,4X200M Freestyle Relay,Silver,Women
Gail Neall (-Yeoh),Australia,AUS,Summer,1972,Munich,Swimming,400M Individual Medley,Gold,Women
Ryk Neethling,South Africa,RSA,Summer,2004,Athina,Swimming,4X100M Freestyle Relay,Gold,Men
Jade Neilsen,Australia,AUS,Summer,2012,London,Swimming,4X200M Freestyle Relay,Silver,Women
"Sandra Lynn ""Sandy"" Neilson (-Bell)",United States,USA,Summer,1972,Munich,Swimming,100M Freestyle,Gold,Women
"Sandra Lynn ""Sandy"" Neilson (-Bell)",United States,USA,Summer,1972,Munich,Swimming,4X100M Freestyle Relay,Gold,Women
"Sandra Lynn ""Sandy"" Neilson (-Bell)",United States,USA,Summer,1972,Munich,Swimming,4X100M Medley Relay,Gold,Women
John Maurer Nelson,United States,USA,Summer,1964,Tokyo,Swimming,1500M Freestyle,Silver,Men
John Maurer Nelson,United States,USA,Summer,1968,Mexico City,Swimming,200M Freestyle,Bronze,Men
John Maurer Nelson,United States,USA,Summer,1968,Mexico City,Swimming,4X200M Freestyle Relay,Gold,Men
Vladimir Konstantinovich Nemshilov,Soviet Union,URS,Summer,1968,Mexico City,Swimming,4X100M Medley Relay,Bronze,Men
Anthony Conrad Nesty,Suriname,SUR,Summer,1988,Seoul,Swimming,100M Butterfly,Gold,Men
Anthony Conrad Nesty,Suriname,SUR,Summer,1992,Barcelona,Swimming,100M Butterfly,Bronze,Men
Paul Neumann (-Newman),Austria,AUT,Summer,1896,Athina,Swimming,500M Freestyle,Gold,Men
Nian Yun,China,CHN,Summer,1996,Atlanta,Swimming,4X100M Freestyle Relay,Silver,Women
Benny Leo Nielsen,Denmark,DEN,Summer,1988,Seoul,Swimming,200M Butterfly,Silver,Men
Mie Stergaard Nielsen,Denmark,DEN,Summer,2016,Rio De Janeiro,Swimming,4X100M Medley Relay,Bronze,Women
"Susanne Schultz Nielsson (-Feldsgaard, -Hansen)",Denmark,DEN,Summer,1980,Moskva,Swimming,100M Breaststroke,Bronze,Women
Boris Nik'It'Ini,Soviet Union,URS,Summer,1956,Melbourne,Swimming,4X200M Freestyle Relay,Bronze,Men
Gennady Nikolayevich Nikolayev,Soviet Union,URS,Summer,1956,Melbourne,Swimming,4X200M Freestyle Relay,Bronze,Men
Carin Maria Nilsson (-Lommerin),Sweden,SWE,Summer,1920,Antwerpen,Swimming,4X100M Freestyle Relay,Bronze,Women
Carola Nitschke (-Beraktschjan),East Germany,GDR,Summer,1976,Montreal,Swimming,4X100M Medley Relay,Gold,Women
Patricia Noall (-Lauzon),Canada,CAN,Summer,1988,Seoul,Swimming,4X100M Medley Relay,Bronze,Women
Peter Nocke,West Germany,FRG,Summer,1976,Montreal,Swimming,100M Freestyle,Bronze,Men
Peter Nocke,West Germany,FRG,Summer,1976,Montreal,Swimming,4X100M Medley Relay,Bronze,Men
Kazuo Noda,Japan,JPN,Summer,1928,Amsterdam,Swimming,4X200M Freestyle Relay,Silver,Men
Kathleen Nord (-Schwartz),East Germany,GDR,Summer,1988,Seoul,Swimming,200M Butterfly,Gold,Women
Sara Maria Evelina Nordenstam,Norway,NOR,Summer,2008,Beijing,Swimming,200M Breaststroke,Bronze,Women
"Martha (Mrta) Maria Norelius (-Mcallister, -Wright, -Brown)",United States,USA,Summer,1924,Paris,Swimming,400M Freestyle,Gold,Women
"Martha (Mrta) Maria Norelius (-Mcallister, -Wright, -Brown)",United States,USA,Summer,1928,Amsterdam,Swimming,400M Freestyle,Gold,Women
"Martha (Mrta) Maria Norelius (-Mcallister, -Wright, -Brown)",United States,USA,Summer,1928,Amsterdam,Swimming,4X100M Freestyle Relay,Gold,Women
Justin Neville Norris,Australia,AUS,Summer,2000,Sydney,Swimming,200M Butterfly,Bronze,Men
"Douglas Dale ""Doug"" Northway",United States,USA,Summer,1972,Munich,Swimming,1500M Freestyle,Bronze,Men
"Douglas Dale ""Doug"" Northway",United States,USA,Summer,1976,Montreal,Swimming,4X200M Freestyle Relay,Gold,Men
Ilona Novk (-Popper),Hungary,HUN,Summer,1952,Helsinki,Swimming,4X100M Freestyle Relay,Gold,Women
Andrea Nugent,Canada,CAN,Summer,1988,Seoul,Swimming,4X100M Medley Relay,Bronze,Women
Imre Nyki,Hungary,HUN,Summer,1948,London,Swimming,4X200M Freestyle Relay,Silver,Men
Lacey Pearl Nymeyer (-John),United States,USA,Summer,2008,Beijing,Swimming,4X100M Freestyle Relay,Silver,Women
Lovett Ian O'Brien,Australia,AUS,Summer,1964,Tokyo,Swimming,200M Breaststroke,Gold,Men
Lovett Ian O'Brien,Australia,AUS,Summer,1964,Tokyo,Swimming,4X100M Medley Relay,Bronze,Men
"Michael Jon ""Mike"" O'Brien",United States,USA,Summer,1984,Los Angeles,Swimming,1500M Freestyle,Gold,Men
Siobhan-Marie O'Connor,Great Britain,GBR,Summer,2016,Rio De Janeiro,Swimming,200M Individual Medley,Silver,Women
"James Wallace ""Wally"" O'Connor",United States,USA,Summer,1924,Paris,Swimming,4X200M Freestyle Relay,Gold,Men
Alexander Dale Oen,Norway,NOR,Summer,2008,Beijing,Swimming,100M Breaststroke,Silver,Men
Kevin O'Halloran,Australia,AUS,Summer,1956,Melbourne,Swimming,4X200M Freestyle Relay,Gold,Men
Yukiaki Okabe,Japan,JPN,Summer,1964,Tokyo,Swimming,4X200M Freestyle Relay,Bronze,Men
Tetsuo Okamoto,Brazil,BRA,Summer,1952,Helsinki,Swimming,1500M Freestyle,Bronze,Men
Poliana Okimoto-Cintra,Brazil,BRA,Summer,2016,Rio De Janeiro,Swimming,10Km Open Water,Bronze,Women
